Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ru	Pd	Ag	Ta	Ir	Pt
Spectrum 1 {173}	Yes	9.03	-5.219	4.79	52.93	8.55	9.56	7.36	2.01	8.2	6.59

Spectrum 1 {174}	Yes	13.53	-5.219	4.55	52.34	8.42	10.17	7.11	2.32	8.43	6.66

Spectrum 1 {175}	Yes	18.029	-5.219	3.14	53.73	7.95	10.97	7.13	1.74	8.42	6.91

Spectrum 1 {176}	Yes	22.529	-5.219	4.28	53.6	7.42	10.98	6.97	1.44	8.43	6.89

Spectrum 1 {177}	Yes	27.03	-5.219	3.69	52.83	7.16	12.16	6.74	1.97	8.08	7.38

Spectrum 1 {178}	Yes	31.53	-5.219	0	54.88	7.11	12.93	6.7	2	8.68	7.71

Spectrum 1 {179}	Yes	36.027	-5.219	3.62	53.59	6.77	12.73	6.1	1.52	7.99	7.67

Spectrum 1 {180}	Yes	40.53	-5.219	0	55.05	6.65	14.29	5.84	2.02	8	8.14

Spectrum 1 {181}	Yes	45.03	-5.219	0	56	6.05	14.46	5.56	1.72	7.94	8.27

--	--	-44.959	-0.717	--	--	--	--	--	--	--	--

Spectrum 1 {182}	Yes	-40.458	-0.717	3.93	54.19	13.75	5	10.5	1.57	6.45	4.6

Spectrum 1 {183}	Yes	-35.961	-0.717	5.66	52.59	13.49	5.19	10.07	1.85	6.51	4.64

Spectrum 1 {184}	Yes	-31.461	-0.717	3.78	53.9	12.93	5.72	10.37	1.7	6.72	4.88

Spectrum 1 {185}	Yes	-26.962	-0.717	4.75	52.66	12.44	6.03	9.96	1.98	7.05	5.13

Spectrum 1 {186}	Yes	-22.46	-0.717	3.43	53.23	11.99	6.3	10.18	2.28	7.18	5.41

Spectrum 1 {187}	Yes	-17.959	-0.717	3.39	53.22	11.67	6.89	9.66	2.21	7.29	5.68

Spectrum 1 {188}	Yes	-13.46	-0.717	4.87	53.2	10.86	6.98	9.14	1.79	7.46	5.7

Spectrum 1 {189}	Yes	-8.959	-0.717	3.14	53.36	10.57	7.77	9.16	2.05	7.77	6.19

Spectrum 1 {190}	Yes	-4.46	-0.717	3.63	53.55	10.02	7.97	8.93	1.94	7.76	6.19

Spectrum 1 {191}	Yes	0.028	-0.717	2.6	53.71	9.74	8.71	8.77	2.07	7.9	6.5

Spectrum 1 {192}	Yes	4.53	-0.717	2.5	53.99	9.17	9.26	8.41	2.03	7.87	6.76

Spectrum 1 {193}	Yes	9.029	-0.717	3.5	52.36	9.06	9.73	7.92	2.49	7.99	6.96

Spectrum 1 {194}	Yes	13.529	-0.717	2.71	53.42	8.31	10.49	7.76	1.98	7.98	7.34

Spectrum 1 {195}	Yes	18.029	-0.717	2.82	53.41	7.89	10.97	7.55	2.07	8.06	7.23

Spectrum 1 {196}	Yes	22.528	-0.717	3.94	53.26	7.46	11.09	7.09	1.76	8.08	7.32

Spectrum 1 {197}	Yes	27.03	-0.717	2.56	53.86	7.11	12.05	7.26	1.8	7.83	7.53

Spectrum 1 {198}	Yes	31.53	-0.717	3.23	53.46	6.65	12.35	6.67	2.03	7.66	7.96

Spectrum 1 {199}	Yes	36.028	-0.717	2.94	54.04	6.66	13.04	6.21	1.53	7.64	7.95

Spectrum 1 {200}	Yes	40.53	-0.717	2.74	53.85	6.03	13.67	6.29	1.77	7.46	8.2

Spectrum 1 {201}	Yes	45.03	-0.717	0	56.12	5.85	14.41	5.78	1.71	7.46	8.67

--	--	-44.959	3.773	--	--	--	--	--	--	--	--

Spectrum 1 {202}	Yes	-40.457	3.773	2.93	53.56	13.62	5.08	11.77	2.14	6.1	4.79

Spectrum 1 {203}	Yes	-35.961	3.773	2.49	54.71	13.03	5.61	11.39	1.56	6.31	4.89

Spectrum 1 {204}	Yes	-31.46	3.773	3.31	53.65	12.55	5.95	10.91	2.05	6.49	5.09

Spectrum 1 {205}	Yes	-26.961	3.773	4.83	52.94	12.07	5.83	10.79	1.76	6.64	5.14

Spectrum 1 {206}	Yes	-22.46	3.773	4.16	53.23	11.58	6.37	10.52	1.89	6.73	5.51

Spectrum 1 {207}	Yes	-17.96	3.773	3.81	52.73	11.38	6.81	10.3	2.16	6.97	5.84

Spectrum 1 {208}	Yes	-13.459	3.773	4.23	53.09	10.36	7.27	10.09	1.96	7.01	5.98

Spectrum 1 {209}	Yes	-8.96	3.773	4.06	52.96	10.29	7.45	9.8	2.12	7.09	6.24

Spectrum 1 {210}	Yes	-4.46	3.773	2.63	53.54	10.14	8.03	9.35	2.23	7.49	6.58

Spectrum 1 {211}	Yes	0.03	3.773	0	55.11	9.78	8.61	9.65	2.06	7.82	6.96

Spectrum 1 {212}	Yes	4.529	3.773	5.21	52.54	8.89	8.64	8.71	1.87	7.34	6.78

Spectrum 1 {213}	Yes	9.029	3.773	3.23	53.4	8.54	9.44	8.61	2	7.57	7.21

Spectrum 1 {214}	Yes	13.529	3.773	3.26	53.45	8.25	9.68	8.25	2.01	7.69	7.41

Spectrum 1 {215}	Yes	18.03	3.773	3.91	53.21	7.65	10.45	7.8	1.73	7.72	7.53

Spectrum 1 {216}	Yes	22.528	3.773	3	53.35	7.38	11.28	7.69	1.94	7.58	7.78

Spectrum 1 {217}	Yes	27.03	3.773	0	55.79	7.19	11.89	7.46	1.75	7.73	8.18

Spectrum 1 {218}	Yes	31.53	3.773	3.68	52.94	6.71	11.99	7	2.08	7.36	8.23

Spectrum 1 {219}	Yes	36.03	3.773	2.53	54.52	6.37	12.58	6.43	1.6	7.52	8.46

Spectrum 1 {220}	Yes	40.529	3.773	2.88	53.43	6.09	13.17	6.5	2.03	7.17	8.73

Spectrum 1 {221}	Yes	45.03	3.773	0	55.64	5.87	14.29	6.1	1.95	7.14	9.02

--	--	-44.959	8.274	--	--	--	--	--	--	--	--

Spectrum 1 {222}	Yes	-40.457	8.274	3.52	53.99	13.17	4.86	12.19	1.66	5.76	4.86

Spectrum 1 {223}	Yes	-35.961	8.274	3.1	53.62	13.14	5.17	11.97	2.03	5.93	5.04

Spectrum 1 {224}	Yes	-31.462	8.274	3.56	53.31	12.64	5.59	11.64	1.99	6.07	5.21

Spectrum 1 {225}	Yes	-26.96	8.274	3.33	53.59	11.98	6.04	11.59	1.77	6.23	5.48

Spectrum 1 {226}	Yes	-22.459	8.274	5.22	52.49	11.12	6.29	10.82	1.99	6.25	5.83

Spectrum 1 {227}	Yes	-17.96	8.274	3.19	53.55	10.97	6.8	11	1.76	6.73	6

Spectrum 1 {228}	Yes	-13.46	8.274	3.26	53.58	10.4	6.93	10.86	1.86	6.95	6.16

Spectrum 1 {229}	Yes	-8.96	8.274	0	54.89	10.41	7.82	10.73	2.24	7.25	6.67

Spectrum 1 {230}	Yes	-4.459	8.274	2.6	54.07	9.71	8.01	10.07	1.76	7.05	6.75

Spectrum 1 {231}	Yes	0.029	8.274	3.26	53.09	9.25	8.26	9.84	2	7.19	7.1

Spectrum 1 {232}	Yes	4.529	8.274	2.78	53.81	8.67	8.76	9.54	2.06	7.28	7.1

Spectrum 1 {233}	Yes	9.03	8.274	3.09	53.14	8.8	9.29	8.77	2.07	7.24	7.61

Spectrum 1 {234}	Yes	13.529	8.274	3.4	53.17	7.91	9.74	8.49	2.15	7.41	7.73

Spectrum 1 {235}	Yes	18.03	8.274	3.71	52.35	7.96	10.41	8.29	2.17	7.25	7.86

Spectrum 1 {236}	Yes	22.531	8.274	0	55.21	8.04	10.97	8.22	1.74	7.56	8.26

Spectrum 1 {237}	Yes	27.029	8.274	0	55.21	7.34	11.66	7.72	2.06	7.47	8.54

